Orderdate,Continueddate,ITCcaseNo,DOCNo,ADCVD,ReviewSequenceGroupNo,ProductGroup,Product,Country,Column2,Column3,FedReg,Pubdate,Link,Column1,Column12,active
2002/1/8,2018/7/11,A-921,A-570-866,A,101,AG,Folding gift boxes,China,,,83 FR 32073, 7/11/2018,https://www.gpo.gov/fdsys/pkg/FR-2018-07-11/pdf/2018-14825.pdf,,,1
2002/4/4,2007/6/5,A-922,A-570-867,A,104,PRSG,Automotive replacement glass windshields,China,,,,,,,,0
2002/6/27,2012/11/6,A-932,A-570-868,A,107,MSC,Folding metal tables and chairs,China,,,77 FR 71168,11/29/2012,,,,0
2003/1/28,2015/2/18,A-986,A-570-873,A,112,MM,Ferrovanadium ,China,,,80 FR 8607, 8/20/2020,http://www.gpo.gov/fdsys/pkg/FR-2015-02-18/pdf/2015-03336.pdf4,,,1
2003/4/7,2019/7/9,A-990,A-570-875,A,114,ISO,Non-malleable cast iron pipe fittings,China,,,84 FR 32722 ,  7/9/2019,https://www.govinfo.gov/content/pkg/FR-2019-07-09/pdf/2019-14561.pdf,,,1
2003/6/12,2008/6/12,A-1010,A-570-877,A,115,MSC,Lawn and garden fence posts,China,,,73 FR 41316, 7/18/2008,,,,0
2003/7/9,2015/6/9,A-1013,A-570-878,A,117,CH,Saccharin,China,,,80 FR 32533,  6/9/2015,http://www.gpo.gov/fdsys/pkg/FR-2015-06-09/pdf/2015-14069.pdf,,,0
2003/10/1,2015/5/27,A-1014,A-570-879,A,116,CH,Polyvinyl alcohol,China,,,80 FR 30208, 5/27/2015,http://www.gpo.gov/fdsys/pkg/FR-2015-05-27/pdf/2015-12788.pdf,,,1
2003/10/1,2015/2/17,A-1020,A-570-880,A,120,CH,Barium carbonate,China,,,80 FR 8286, 8/20/2020,https://www.federalregister.gov/documents/2020/08/20/2020-18286/barium-carbonate-from-the-peoples-republic-of-china-continuation-of-antidumping-duty-order,,,1
2003/12/12,2014/8/12,A-1021,A-570-881,A,123,ISO,Malleable iron pipe fittings,China,,,84 FR 66375 ,11/25/2019,https://www.govinfo.gov/content/pkg/FR-2019-12-04/pdf/2019-26216.pdf,,,1
2003/11/19,2020/2/25,A-1022,A-570-882,A,122,CH,Refined brown aluminum oxide,China,,,79 FR 61606,  3/6/2020,https://www.govinfo.gov/content/pkg/FR-2020-03-06/pdf/2020-04624.pdf,,,1
2004/6/3,2009/6/3,A-1034,A-570-884,A,126,ME,Color television receivers,China,,,74 FR 31409,  7/1/2009,,,,0
2004/8/9,2016/5/6,A-1043,A-570-886,A,129,PRSG,Polyethylene retail carrier bags,China,,,81 FR 27087,  5/5/2016,,,,1
2004/8/6,2015/4/16,A-1046,A-570-887,A,127,CH,Tetrahydrofurfuryl alcohol,China,,,80 FR 20470, 4/16/2015,,,,1
2004/8/6,2016/3/8,A-1047,A-570-888,A,128,MSC,Ironing tables,China,,,75 FR 36629, 6/28/2010,,,,1
2005/1/4,2017/2/24,A-1058,A-570-890,A,132,MSC,Wooden bedroom furniture,China,,,82 FR 11533, 2/24/2017,https://www.gpo.gov/fdsys/pkg/FR-2017-02-24/pdf/2017-03639.pdf,,,1
2004/12/2,2015/8/19,A-1059,A-570-891,A,130,TR,Hand trucks,China,,,80 FR 50266, 8/19/2015,http://www.gpo.gov/fdsys/pkg/FR-2015-08-19/pdf/2015-20495.pdf,,,1
2004/12/29,2015/11/17,A-1060,A-570-892,A,131,CH,Carbazole Violet Pigment 23,China,,,80 FR 71773,11/17/2015,http://www.gpo.gov/fdsys/pkg/FR-2015-11-17/pdf/2015-29361.pdf,,,1
2005/2/1,2017/6/1,A-1064,A-570-893,A,134,AG,Frozen warm-water shrimp and prawns,China,,,82 FR 25242,  6/1/2017,https://www.gpo.gov/fdsys/pkg/FR-2017-06-01/pdf/2017-11323.pdf,,,1
2005/3/30,2016/7/12,A-1070-B,A-570-894,A,133,AG,Tissue paper,China,,,81 FR 45128, 7/12/2016,https://www.gpo.gov/fdsys/pkg/FR-2016-07-12/pdf/2016-16465.pdf,,,1
2005/1/25,2015/9/22,A-1070-A,A-570-895,A,133,AG,Crepe paper,China,,,80 FR 57149, 9/22/2015,http://www.gpo.gov/fdsys/pkg/FR-2015-09-22/pdf/2015-24038.pdf,,,1
2005/4/15,2016/7/21,A-1071,A-570-896,A,135,MM,Magnesium,China,,,81 FR 47351, 7/21/2016,https://www.gpo.gov/fdsys/pkg/FR-2016-07-21/pdf/2016-17206.pdf,,,1
2005/6/24,2016/11/29,A-1082,A-570-898,A,136,CH,Chlorinated Isocyanurates,China,,,81 FR 85927,11/29/2016,https://www.gpo.gov/fdsys/pkg/FR-2016-11-29/pdf/2016-28702.pdf,,,1
2006/6/1,2017/3/21,A-1091,A-570-899,A,140,TX,Artist canvas,China,,,82 FR 14502, 3/21/2017,https://www.gpo.gov/fdsys/pkg/FR-2017-03-21/pdf/2017-05532.pdf,,,1
2009/1/23,2015/9/18,A-1092,A-570-900,A,,ISO,Diamond Sawblades,China,,,80 FR 56441, 9/18/2015,https://www.govinfo.gov/content/pkg/FR-2015-09-18/pdf/2015-23468.pdf,,,1
2006/9/28,2018/3/6,A-1095,A-570-901,A,141,AG,Lined paper,China,,,83 FR 9479,  3/6/2018,https://www.gpo.gov/fdsys/pkg/FR-2018-03-06/pdf/2018-04501.pdf,,,1
2007/4/27,2018/7/12,A-1103,A-570-904,A,142,CH,Activated carbon,China,,,83 FR 32269, 7/12/2018,https://www.gpo.gov/fdsys/pkg/FR-2018-07-12/pdf/2018-15014.pdf,,,1
2007/6/1,2018/4/4,A-1104,A-570-905,A,143,TX,Polyester staple fiber ,China,,,83 FR 14415,  4/4/2018,https://www.gpo.gov/fdsys/pkg/FR-2018-04-04/pdf/2018-06838.pdf,,,1
2008/3/19,2019/3/1,A-1110,A-570-908,A,145,CH,Sodium Hexametaphosphate,China,,,84 FR 7021,  3/1/2019,https://www.govinfo.gov/content/pkg/FR-2019-03-01/pdf/2019-03682.pdf,,,1
2008/8/1,2014/1/10,A-1114,A-570-909,A,148,ISO,Steel nails,China,,,84 FR 66151 , 1/10/2014,https://www.govinfo.gov/content/pkg/FR-2019-12-03/pdf/2019-26140.pdf,,,1
2008/7/22,2019/6/26,A-1116,A-570-910,A,147,ISP,Circular welded carbon quality steel pipe,China,,,84 FR 30086, 6/26/2019,https://www.govinfo.gov/content/pkg/FR-2019-06-26/pdf/2019-13617.pdf,,,1
2008/9/4,2019/2/4,A-1117,A-570-912,A,151,PRSG,New Pneumatic Off-the-Road Tires,China,,,84 FR 20616, 5/10/2019,https://www.govinfo.gov/content/pkg/FR-2019-05-10/pdf/2019-09670.pdf,,,0
